forward_add, forward_mul, backward_add, backward_mul
128, 142, 1835, 4786
132, 143, 2355, 7371
132, 148, 2455, 8542
132, 144, 2368, 7371
132, 147, 2460, 8541
132, 145, 2455, 8544
132, 145, 2460, 8542
130, 146, 2249, 6920
132, 146, 2355, 7372
132, 145, 2455, 8545
132, 144, 2392, 7368
132, 145, 2486, 8546
128, 142, 1905, 4787
132, 144, 2478, 8542
132, 143, 2483, 8544
130, 142, 2285, 6922
132, 143, 2368, 7373
132, 147, 2460, 8544
132, 141, 2392, 7372
132, 144, 2486, 8546
126, 143, 1938, 4786
132, 141, 2483, 8545
132, 139, 2483, 8544
130, 143, 2286, 6923
132, 144, 2392, 7373
132, 143, 2483, 8545
132, 141, 2392, 7372
132, 140, 2483, 8545
132, 143, 2483, 8546
132, 142, 2483, 8546
126, 144, 1946, 4783
130, 142, 2273, 6921
132, 144, 2451, 8542
132, 147, 2456, 8546
130, 142, 2245, 6921
132, 144, 2474, 8544
128, 140, 1889, 4787
132, 143, 2479, 8546
130, 140, 2293, 6925
132, 142, 2479, 8545
126, 142, 1922, 4787
132, 142, 2479, 8544
130, 142, 2294, 6921
132, 141, 2482, 8546
130, 144, 2281, 6922
132, 145, 2482, 8544
130, 142, 2293, 6922
130, 142, 2282, 6922
130, 143, 2294, 6926
130, 144, 2269, 6920
126, 146, 1973, 4945
